,Datetime_updated_seconds,Price_USD,Price_Crypto,densities,vertex_count,edge_count,volume,collection,blacklisted,whitelisted
0,2020-12-02 12:00:00,0.04015,1.0,1.0,2.0,1.0,1.0,12345rainbow,1,0
1,2020-12-02 13:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
2,2020-12-02 14:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
3,2020-12-02 15:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
4,2020-12-02 16:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
5,2020-12-02 17:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
6,2020-12-02 18:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
7,2020-12-02 19:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
8,2020-12-02 20:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
9,2020-12-02 21:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
10,2020-12-02 22:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
11,2020-12-02 23:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
12,2020-12-03 00:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
13,2020-12-03 01:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
14,2020-12-03 02:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
15,2020-12-03 03:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
16,2020-12-03 04:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
17,2020-12-03 05:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
18,2020-12-03 06:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
19,2020-12-03 07:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
20,2020-12-03 08:00:00,0.04015,1.0,1.0,2.0,1.0,0.0,12345rainbow,1,0
